Date;URALS_price;BRENT_price;RUBLE_EXCHrate;IMOEX_CLOSE;MIACR_RatePerDay;CPI_HighFreq;VIX_volatility
17.03.2022;0,086665841;0,087941236;0;0;0,1995;-6,61729E-06;25,67
18.03.2022;0,007633588;0,012096774;0,007017635;0;0,1925;-0,000310238;23,87
19.03.2022;0;0;-0,005806161;0;0,1925;0,004550139;23,87
20.03.2022;0;0;-0,00876587;0;0,1925;-0,005270905;23,87
21.03.2022;0,077566712;0,071249884;-0,068979021;0;0,1917;0,000273908;23,53
22.03.2022;0,002203568;-0,001210863;-0,003998093;0;0,1922;0,002888419;22,94
23.03.2022;0,065961679;0,05299619;0;0;0,1929;-0,000818236;23,57
24.03.2022;-0,018858658;-0,021134868;0;0,043728344;0,1936;-0,002496178;21,67
25.03.2022;-0,020822905;0,013610014;-0,020376995;-0,036602534;0,1934;0,002735292;20,81
26.03.2022;0;0;-0,07926584;-0,021508536;0,1928;0,000896897;20,81
27.03.2022;0;0;-0,025487835;0;0,1928;-0,003451593;20,81
28.03.2022;-0,077394949;-0,067716535;-0,008032339;0;0,1928;0,000813015;19,63
29.03.2022;-0,03679078;-0,020003556;0,000225393;-0,009137286;0,191;0,000979856;18,9
30.03.2022;0,040612057;0,029211648;0;0,043404789;0,1925;-0,000468919;19,33
31.03.2022;-0,083360973;-0,048832085;0;0,075796946;0,1911;0,01101279;20,56
01.04.2022;-0,013026173;-0,032619776;0,001974146;0,020761898;0,1908;-0,011740133;19,63
02.04.2022;0;0;-0,002885402;0,010164369;0,1908;-0,001243486;19,63
03.04.2022;0;0;-0,009067569;0;0,1908;0,001433738;19,63
04.04.2022;-0,025785164;0;-0,07677714;0;0,1908;-8,02057E-05;18,57
05.04.2022;-0,020697441;0;-0,018419848;-0,044804121;0,1905;-0,000136655;21,03
06.04.2022;-0,038811323;0,03007951;0;-0,01928804;0,1907;0,00432008;22,1
07.04.2022;-0,069829424;-0,00827676;0;0,00917505;0,1921;-0,005621962;21,55
08.04.2022;0,015616046;-0,052231808;0,057575073;-0,016191152;0,1922;0,002555913;21,16
09.04.2022;0;-0,004848125;0,00590958;-0,013715326;0,1623;-0,000513698;21,16
10.04.2022;0;0,021873136;0,002759101;0;0,1623;-0,000908473;21,16
11.04.2022;-0,019184652;-0,041836933;0,01804574;0;0,1623;-0,00012783;24,37
12.04.2022;0,0952107;0,062550772;-0,015307302;-0,006323421;0,1638;0,000456144;24,26
13.04.2022;0,018253447;0,03956422;0;-0,004946891;0,1624;0,000620127;21,82
14.04.2022;0,007866907;0,02684317;0;-0,048919879;0,1622;-0,001142375;22,7
15.04.2022;0;0;-0,007380968;0,008425062;0,1622;0,020810076;22,7
16.04.2022;0;0;-0,005339012;-0,033963027;0,1621;0,006350949;22,7
17.04.2022;0;0;-0,024646742;0;0,1621;-0,012153068;22,7
18.04.2022;0;0,013070725;-0,027009285;0;0,1621;-0,000373513;22,17
